Retailer,InvoiceDate,Region,State,City,Product,Price per Unit,UnitsSold,TotalSales,OperatingProfit,OperatingMargin,SalesMethod,state_code
amazon,2019-07-17,Midwest,Nebraska,Omaha,Women's Athletic Footwear,35.0,1804,63140.0,28410.0,45.0,Online,NE
foot locker,2019-07-17,Southeast,Virginia,Richmond,Women's Apparel,40.0,1401,56040.0,20170.0,36.0,Outlet,VA
west gear,2019-07-17,West,Utah,Salt Lake City,Women's Apparel,45.0,1025,46125.0,27210.0,59.0,Outlet,UT
walmart,2019-07-17,South,Tennessee,Knoxville,Women's Athletic Footwear,65.0,1742,113230.0,67940.0,60.0,Outlet,TN
west gear,2019-07-17,West,Alaska,Anchorage,Men's Street Footwear,60.0,1221,73260.0,32970.0,45.0,Online,AK
amazon,2019-07-17,South,Texas,Houston,Men's Street Footwear,65.0,1274,82810.0,43060.0,52.0,Online,TX
amazon,2019-07-17,Midwest,Nebraska,Omaha,Men's Street Footwear,40.0,1287,51480.0,15960.0,31.0,Online,NE
sports direct,2019-07-17,West,Washington,Seattle,Men's Athletic Footwear,65.0,1352,87880.0,48330.0,55.0,In-store,WA
west gear,2019-07-17,West,Idaho,Boise,Men's Athletic Footwear,55.0,1780,97900.0,47970.0,49.0,Online,ID
west gear,2019-07-17,West,Alaska,Anchorage,Women's Apparel,55.0,1643,90365.0,34340.0,38.0,Online,AK
sports direct,2019-07-17,Southeast,Georgia,Atlanta,Women's Athletic Footwear,35.0,1845,64575.0,36160.0,56.0,Outlet,GA
kohl's,2019-07-17,South,Mississippi,Jackson,Women's Athletic Footwear,30.0,1864,55920.0,32430.0,57.9999999999999,In-store,MS
west gear,2019-07-17,Northeast,Vermont,Burlington,Men's Apparel,30.0,1163,34890.0,15000.0,43.0,Outlet,VT
sports direct,2019-07-17,Northeast,New York,New York,Women's Apparel,55.0,1703,93665.0,47770.0,51.0,Online,NY
foot locker,2019-07-17,Southeast,Kentucky,Louisville,Men's Athletic Footwear,45.0,1693,76185.0,22860.0,30.0,Online,KY
west gear,2019-07-17,West,Wyoming,Cheyenne,Men's Apparel,60.0,1157,69420.0,34710.0,50.0,In-store,WY
sports direct,2019-07-17,Midwest,Nebraska,Omaha,Men's Athletic Footwear,50.0,1860,93000.0,34410.0,37.0,Online,NE
sports direct,2019-07-17,Midwest,Nebraska,Omaha,Women's Athletic Footwear,65.0,1206,78390.0,39200.0,50.0,Online,NE
foot locker,2019-07-17,Midwest,Missouri,St. Louis,Men's Apparel,30.0,1535,46050.0,27630.0,60.0,In-store,MO
kohl's,2019-07-17,Midwest,Missouri,St. Louis,Women's Athletic Footwear,55.0,1400,77000.0,26180.0,34.0,Outlet,MO
walmart,2019-07-17,South,Tennessee,Knoxville,Women's Athletic Footwear,30.0,1584,47520.0,18060.0,38.0,In-store,TN
kohl's,2019-07-17,Midwest,Nebraska,Omaha,Women's Apparel,40.0,1226,49040.0,28440.0,57.9999999999999,Outlet,NE
west gear,2019-07-17,Northeast,Rhode Island,Providence,Men's Athletic Footwear,55.0,1679,92345.0,31400.0,34.0,Outlet,RI
amazon,2019-07-18,Northeast,New Jersey,Newark,Men's Athletic Footwear,55.0,1766,97130.0,31080.0,32.0,Online,NJ
foot locker,2019-07-18,South,Mississippi,Jackson,Men's Street Footwear,40.0,1526,61040.0,28690.0,47.0,In-store,MS
amazon,2019-07-18,West,Colorado,Denver,Women's Apparel,30.0,1085,32550.0,16930.0,52.0,Online,CO
west gear,2019-07-18,West,California,San Francisco,Women's Athletic Footwear,60.0,1081,64860.0,26590.0,41.0,Outlet,CA
sports direct,2019-07-18,South,Louisiana,New Orleans,Men's Street Footwear,30.0,1258,37740.0,21510.0,56.9999999999999,In-store,LA
west gear,2019-07-18,Midwest,Kansas,Wichita,Men's Athletic Footwear,40.0,1009,40360.0,14130.0,35.0,In-store,KS
west gear,2019-07-18,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,70.0,1753,122710.0,45400.0,37.0,Outlet,PA
west gear,2019-07-18,West,Alaska,Anchorage,Men's Athletic Footwear,60.0,1035,62100.0,29810.0,48.0,Outlet,AK
kohl's,2019-07-18,Southeast,North Carolina,Charlotte,Women's Apparel,55.0,1288,70840.0,29750.0,42.0,In-store,NC
sports direct,2019-07-18,West,Oregon,Portland,Women's Athletic Footwear,50.0,1017,50850.0,16270.0,32.0,In-store,OR
foot locker,2019-07-18,South,Alabama,Birmingham,Men's Apparel,40.0,1201,48040.0,28340.0,59.0,In-store,AL
foot locker,2019-07-18,Northeast,Vermont,Burlington,Men's Street Footwear,40.0,1928,77120.0,43190.0,56.0,In-store,VT
west gear,2019-07-18,South,Tennessee,Knoxville,Men's Apparel,60.0,1058,63480.0,29200.0,46.0,Outlet,TN
foot locker,2019-07-18,West,Wyoming,Cheyenne,Men's Street Footwear,45.0,1623,73035.0,29210.0,40.0,In-store,WY
sports direct,2019-07-18,South,Tennessee,Knoxville,Women's Street Footwear,45.0,1442,64890.0,30500.0,47.0,Online,TN
west gear,2019-07-18,Southeast,South Carolina,Charleston,Women's Athletic Footwear,65.0,1792,116480.0,46590.0,40.0,In-store,SC
walmart,2019-07-18,West,Nevada,Las Vegas,Women's Apparel,50.0,1923,96150.0,31730.0,33.0,Outlet,NV
kohl's,2019-07-18,Midwest,Montana,Billings,Women's Apparel,65.0,1550,100750.0,58430.0,57.9999999999999,In-store,MT
kohl's,2019-07-18,Southeast,South Carolina,Charleston,Women's Athletic Footwear,65.0,1888,122720.0,54000.0,44.0,Online,SC
foot locker,2019-07-18,South,Arkansas,Little Rock,Men's Street Footwear,50.0,1659,82950.0,26540.0,32.0,Online,AR
west gear,2019-07-18,Northeast,New Jersey,Newark,Men's Street Footwear,60.0,1424,85440.0,51260.0,60.0,Outlet,NJ
amazon,2019-07-18,Midwest,Montana,Billings,Men's Athletic Footwear,30.0,1649,49470.0,23250.0,47.0,Online,MT
walmart,2019-07-18,Northeast,New York,Albany,Men's Athletic Footwear,50.0,1292,64600.0,29070.0,45.0,In-store,NY
amazon,2019-07-18,West,Alaska,Anchorage,Men's Street Footwear,65.0,1889,122785.0,73670.0,60.0,Online,AK
walmart,2019-07-18,West,Arizona,Phoenix,Men's Apparel,30.0,1990,59700.0,34030.0,56.9999999999999,Online,AZ
walmart,2019-07-19,West,Alaska,Anchorage,Men's Apparel,35.0,1377,48195.0,26030.0,54.0,Outlet,AK
kohl's,2019-07-19,Midwest,Montana,Billings,Men's Athletic Footwear,50.0,1761,88050.0,29940.0,34.0,Online,MT
amazon,2019-07-19,West,California,Los Angeles,Men's Apparel,55.0,1556,85580.0,35940.0,42.0,Online,CA
west gear,2019-07-19,Northeast,Massachusetts,Boston,Women's Apparel,55.0,1119,61545.0,27080.0,44.0,Outlet,MA
west gear,2019-07-19,Northeast,Rhode Island,Providence,Men's Apparel,35.0,1506,52710.0,24770.0,47.0,Online,RI
foot locker,2019-07-19,Midwest,Illinois,Chicago,Women's Athletic Footwear,65.0,1427,92755.0,53800.0,57.9999999999999,Online,IL
sports direct,2019-07-19,Midwest,North Dakota,Fargo,Men's Street Footwear,50.0,1759,87950.0,51010.0,57.9999999999999,Outlet,ND
west gear,2019-07-19,Northeast,New Jersey,Newark,Women's Athletic Footwear,50.0,1655,82750.0,39720.0,48.0,Outlet,NJ
amazon,2019-07-19,Southeast,Kentucky,Louisville,Women's Athletic Footwear,60.0,1385,83100.0,49030.0,59.0,Online,KY
kohl's,2019-07-19,Southeast,North Carolina,Charlotte,Men's Apparel,70.0,1787,125090.0,75050.0,60.0,In-store,NC
amazon,2019-07-19,Northeast,Connecticut,Hartford,Women's Street Footwear,65.0,1902,123630.0,60580.0,49.0,Online,CT
walmart,2019-07-19,Northeast,Delaware,Wilmington,Women's Apparel,60.0,1806,108360.0,42260.0,39.0,Online,DE
amazon,2019-07-19,Southeast,Kentucky,Louisville,Men's Athletic Footwear,65.0,1804,117260.0,45730.0,39.0,Online,KY
west gear,2019-07-19,Midwest,Nebraska,Omaha,Women's Street Footwear,45.0,1476,66420.0,37200.0,56.0,Online,NE
sports direct,2019-07-19,Midwest,Wisconsin,Milwaukee,Women's Apparel,45.0,1692,76140.0,32740.0,43.0,In-store,WI
walmart,2019-07-19,Midwest,Illinois,Chicago,Women's Apparel,70.0,1690,118300.0,46140.0,39.0,Online,IL
kohl's,2019-07-19,Northeast,New York,New York,Men's Street Footwear,45.0,1231,55395.0,25480.0,46.0,In-store,NY
kohl's,2019-07-19,Southeast,Florida,Orlando,Men's Athletic Footwear,45.0,1629,73305.0,42520.0,57.9999999999999,Outlet,FL
kohl's,2019-07-19,West,Alaska,Anchorage,Men's Street Footwear,35.0,1617,56595.0,18110.0,32.0,Online,AK
west gear,2019-07-19,Southeast,Georgia,Atlanta,Women's Street Footwear,65.0,1404,91260.0,52020.0,56.9999999999999,Outlet,GA
kohl's,2019-07-19,Northeast,Delaware,Wilmington,Women's Street Footwear,50.0,1626,81300.0,43900.0,54.0,Online,DE
kohl's,2019-07-19,Midwest,Wisconsin,Milwaukee,Men's Apparel,60.0,1960,117600.0,67030.0,56.9999999999999,Outlet,WI
west gear,2019-07-19,Southeast,Florida,Orlando,Women's Athletic Footwear,45.0,1052,47340.0,18460.0,39.0,In-store,FL
foot locker,2019-07-19,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,50.0,1017,50850.0,26950.0,53.0,In-store,WI
west gear,2019-07-19,Northeast,Massachusetts,Boston,Men's Apparel,55.0,1646,90530.0,30780.0,34.0,Outlet,MA
west gear,2019-07-20,West,New Mexico,Albuquerque,Men's Athletic Footwear,40.0,1580,63200.0,37290.0,59.0,Online,NM
walmart,2019-07-20,Midwest,South Dakota,Sioux Falls,Men's Apparel,55.0,1826,100430.0,46200.0,46.0,Online,SD
west gear,2019-07-20,Northeast,New Jersey,Newark,Women's Apparel,40.0,1975,79000.0,37130.0,47.0,Outlet,NJ
west gear,2019-07-20,Southeast,North Carolina,Charlotte,Women's Apparel,50.0,1283,64150.0,37210.0,57.9999999999999,Outlet,NC
foot locker,2019-07-20,South,Texas,Houston,Women's Athletic Footwear,45.0,1026,46170.0,23080.0,50.0,Online,TX
sports direct,2019-07-20,Northeast,New Jersey,Newark,Women's Athletic Footwear,45.0,1939,87255.0,34900.0,40.0,In-store,NJ
foot locker,2019-07-20,Midwest,Wisconsin,Milwaukee,Men's Apparel,60.0,1365,81900.0,31940.0,39.0,Outlet,WI
amazon,2019-07-20,Northeast,Massachusetts,Boston,Women's Street Footwear,55.0,1132,62260.0,21790.0,35.0,Online,MA
amazon,2019-07-20,Southeast,Florida,Miami,Women's Athletic Footwear,30.0,1941,58230.0,25620.0,44.0,Online,FL
sports direct,2019-07-20,Southeast,Georgia,Atlanta,Women's Athletic Footwear,50.0,1031,51550.0,26290.0,51.0,Outlet,GA
foot locker,2019-07-20,Midwest,Michigan,Detroit,Men's Apparel,45.0,1873,84285.0,39610.0,47.0,Online,MI
sports direct,2019-07-20,Northeast,Massachusetts,Boston,Men's Street Footwear,50.0,1030,51500.0,25240.0,49.0,Online,MA
walmart,2019-07-20,Midwest,Montana,Billings,Men's Apparel,50.0,1189,59450.0,21400.0,36.0,Outlet,MT
walmart,2019-07-20,South,Arkansas,Little Rock,Women's Street Footwear,65.0,1107,71955.0,28780.0,40.0,In-store,AR
amazon,2019-07-20,West,Colorado,Denver,Women's Athletic Footwear,50.0,1394,69700.0,41120.0,59.0,Online,CO
sports direct,2019-07-20,Northeast,New Jersey,Newark,Women's Apparel,70.0,1839,128730.0,51490.0,40.0,In-store,NJ
foot locker,2019-07-20,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,65.0,1153,74945.0,23980.0,32.0,Outlet,MN
sports direct,2019-07-20,South,Texas,Houston,Women's Athletic Footwear,30.0,1529,45870.0,22480.0,49.0,In-store,TX
amazon,2019-07-20,Midwest,Illinois,Chicago,Men's Athletic Footwear,65.0,1991,129415.0,47880.0,37.0,Online,IL
west gear,2019-07-20,Midwest,North Dakota,Fargo,Men's Apparel,45.0,1832,82440.0,41220.0,50.0,Online,ND
sports direct,2019-07-20,Northeast,Maryland,Baltimore,Men's Apparel,50.0,1883,94150.0,37660.0,40.0,In-store,MD
kohl's,2019-07-20,Southeast,North Carolina,Charlotte,Men's Apparel,65.0,1522,98930.0,58370.0,59.0,In-store,NC
walmart,2019-07-20,Northeast,Connecticut,Hartford,Men's Athletic Footwear,45.0,1514,68130.0,21120.0,31.0,Outlet,CT
kohl's,2019-07-20,West,Nevada,Las Vegas,Men's Apparel,45.0,1534,69030.0,22780.0,33.0,Outlet,NV
kohl's,2019-07-20,Southeast,Florida,Orlando,Women's Street Footwear,45.0,1849,83205.0,28290.0,34.0,In-store,FL
kohl's,2019-07-21,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,65.0,1133,73645.0,31670.0,43.0,In-store,MN
kohl's,2019-07-21,Southeast,Kentucky,Louisville,Women's Apparel,30.0,1210,36300.0,16340.0,45.0,Online,KY
walmart,2019-07-21,West,Nevada,Las Vegas,Women's Athletic Footwear,70.0,1261,88270.0,33540.0,38.0,Outlet,NV
west gear,2019-07-21,West,Nevada,Las Vegas,Men's Street Footwear,35.0,1090,38150.0,18310.0,48.0,Outlet,NV
west gear,2019-07-21,Southeast,North Carolina,Charlotte,Women's Apparel,60.0,1689,101340.0,35470.0,35.0,In-store,NC
walmart,2019-07-21,South,Alabama,Birmingham,Men's Apparel,60.0,1294,77640.0,37270.0,48.0,Outlet,AL
walmart,2019-07-21,Midwest,North Dakota,Fargo,Men's Street Footwear,45.0,1357,61065.0,20150.0,33.0,Outlet,ND
west gear,2019-07-21,Southeast,Georgia,Atlanta,Women's Apparel,60.0,1455,87300.0,44520.0,51.0,In-store,GA
west gear,2019-07-21,South,Alabama,Birmingham,Women's Athletic Footwear,55.0,1076,59180.0,34920.0,59.0,Outlet,AL
foot locker,2019-07-21,West,California,Los Angeles,Women's Athletic Footwear,70.0,1035,72450.0,39120.0,54.0,In-store,CA
amazon,2019-07-21,Midwest,Iowa,Des Moines,Men's Apparel,40.0,1879,75160.0,42840.0,56.9999999999999,Online,IA
sports direct,2019-07-21,West,Oregon,Portland,Men's Athletic Footwear,45.0,1372,61740.0,24080.0,39.0,Outlet,OR
foot locker,2019-07-21,Midwest,Illinois,Chicago,Men's Street Footwear,45.0,1265,56925.0,25050.0,44.0,Online,IL
sports direct,2019-07-21,Midwest,Montana,Billings,Men's Athletic Footwear,35.0,1232,43120.0,21130.0,49.0,In-store,MT
west gear,2019-07-21,West,Colorado,Denver,Men's Street Footwear,55.0,1724,94820.0,31290.0,33.0,Outlet,CO
amazon,2019-07-21,Northeast,Rhode Island,Providence,Women's Athletic Footwear,70.0,1371,95970.0,35510.0,37.0,Online,RI
amazon,2019-07-21,Northeast,Massachusetts,Boston,Men's Street Footwear,45.0,1752,78840.0,39420.0,50.0,Online,MA
west gear,2019-07-21,Midwest,Iowa,Des Moines,Men's Apparel,65.0,1398,90870.0,44530.0,49.0,Outlet,IA
amazon,2019-07-21,Northeast,Maryland,Baltimore,Men's Street Footwear,35.0,1744,61040.0,26860.0,44.0,Online,MD
kohl's,2019-07-21,Midwest,Indiana,Indianapolis,Women's Apparel,40.0,1977,79080.0,41910.0,53.0,Online,IN
west gear,2019-07-21,West,Hawaii,Honolulu,Women's Apparel,35.0,1927,67445.0,38440.0,56.9999999999999,Outlet,HI
amazon,2019-07-21,Northeast,Massachusetts,Boston,Women's Apparel,65.0,1084,70460.0,31710.0,45.0,Online,MA
amazon,2019-07-21,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,55.0,1259,69245.0,22160.0,32.0,Online,SD
amazon,2019-07-21,Midwest,North Dakota,Fargo,Men's Athletic Footwear,50.0,1474,73700.0,22850.0,31.0,Online,ND
west gear,2019-07-21,Midwest,Michigan,Detroit,Men's Apparel,45.0,1051,47295.0,25540.0,54.0,In-store,MI
kohl's,2019-07-22,South,Alabama,Birmingham,Men's Apparel,40.0,1842,73680.0,36100.0,49.0,Outlet,AL
foot locker,2019-07-22,Northeast,Delaware,Wilmington,Men's Athletic Footwear,60.0,1951,117060.0,47990.0,41.0,Outlet,DE
amazon,2019-07-22,Southeast,Kentucky,Louisville,Women's Athletic Footwear,60.0,1787,107220.0,32170.0,30.0,Online,KY
walmart,2019-07-22,Northeast,New Jersey,Newark,Women's Street Footwear,45.0,1080,48600.0,28670.0,59.0,In-store,NJ
walmart,2019-07-22,Midwest,Ohio,Columbus,Women's Athletic Footwear,50.0,1826,91300.0,39260.0,43.0,Online,OH
amazon,2019-07-22,West,Nevada,Las Vegas,Men's Athletic Footwear,70.0,1944,136080.0,54430.0,40.0,Online,NV
amazon,2019-07-22,Northeast,New Jersey,Newark,Women's Apparel,35.0,1968,68880.0,30310.0,44.0,Online,NJ
west gear,2019-07-22,Midwest,North Dakota,Fargo,Women's Apparel,50.0,1311,65550.0,27530.0,42.0,In-store,ND
amazon,2019-07-22,Southeast,Florida,Orlando,Men's Street Footwear,40.0,1086,43440.0,19980.0,46.0,Online,FL
sports direct,2019-07-22,Midwest,Minnesota,Minneapolis,Women's Street Footwear,65.0,1518,98670.0,33550.0,34.0,Outlet,MN
west gear,2019-07-22,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,70.0,1125,78750.0,40160.0,51.0,In-store,MN
amazon,2019-07-22,South,Tennessee,Knoxville,Women's Apparel,50.0,1752,87600.0,32410.0,37.0,Online,TN
west gear,2019-07-22,South,Texas,Dallas,Men's Athletic Footwear,50.0,1974,98700.0,56260.0,56.9999999999999,Outlet,TX
sports direct,2019-07-22,South,Louisiana,New Orleans,Women's Street Footwear,30.0,1165,34950.0,17480.0,50.0,Outlet,LA
west gear,2019-07-22,West,Washington,Seattle,Men's Athletic Footwear,40.0,1726,69040.0,36590.0,53.0,Online,WA
sports direct,2019-07-22,Midwest,Michigan,Detroit,Women's Apparel,30.0,1731,51930.0,17140.0,33.0,In-store,MI
kohl's,2019-07-22,Midwest,Michigan,Detroit,Men's Athletic Footwear,30.0,1551,46530.0,22330.0,48.0,In-store,MI
amazon,2019-07-22,Northeast,New Jersey,Newark,Women's Athletic Footwear,65.0,1804,117260.0,45730.0,39.0,Online,NJ
kohl's,2019-07-22,South,Mississippi,Jackson,Men's Street Footwear,45.0,1739,78255.0,24260.0,31.0,In-store,MS
kohl's,2019-07-22,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,70.0,1283,89810.0,50290.0,56.0,In-store,NH
kohl's,2019-07-22,West,Colorado,Denver,Men's Street Footwear,55.0,1186,65230.0,21530.0,33.0,Online,CO
west gear,2019-07-22,South,Tennessee,Knoxville,Women's Athletic Footwear,55.0,1121,61655.0,33910.0,55.0,Outlet,TN
west gear,2019-07-22,Southeast,Virginia,Richmond,Men's Apparel,55.0,1839,101145.0,36410.0,36.0,In-store,VA
west gear,2019-07-22,Midwest,Ohio,Columbus,Women's Athletic Footwear,55.0,1123,61765.0,34590.0,56.0,In-store,OH
sports direct,2019-07-22,South,Arkansas,Little Rock,Women's Apparel,60.0,1888,113280.0,36250.0,32.0,In-store,AR
walmart,2019-07-23,Northeast,Vermont,Burlington,Men's Apparel,30.0,1237,37110.0,19300.0,52.0,In-store,VT
foot locker,2019-07-23,West,New Mexico,Albuquerque,Men's Apparel,40.0,1926,77040.0,24650.0,32.0,Outlet,NM
sports direct,2019-07-23,South,Texas,Dallas,Men's Apparel,35.0,1207,42245.0,21540.0,51.0,Outlet,TX
kohl's,2019-07-23,Midwest,Iowa,Des Moines,Men's Athletic Footwear,50.0,1275,63750.0,33150.0,52.0,In-store,IA
amazon,2019-07-23,Midwest,Indiana,Indianapolis,Women's Street Footwear,60.0,1340,80400.0,32960.0,41.0,Online,IN
walmart,2019-07-23,Midwest,Ohio,Columbus,Men's Athletic Footwear,45.0,1941,87345.0,46290.0,53.0,Online,OH
foot locker,2019-07-23,West,New Mexico,Albuquerque,Men's Apparel,60.0,1940,116400.0,43070.0,37.0,In-store,NM
sports direct,2019-07-23,Northeast,New Jersey,Newark,Women's Street Footwear,65.0,1977,128505.0,73250.0,56.9999999999999,Online,NJ
foot locker,2019-07-23,Northeast,Rhode Island,Providence,Women's Street Footwear,65.0,1567,101855.0,47870.0,47.0,Online,RI
west gear,2019-07-23,West,Washington,Seattle,Women's Apparel,55.0,1742,95810.0,45030.0,47.0,In-store,WA
kohl's,2019-07-23,South,Mississippi,Jackson,Men's Street Footwear,50.0,1898,94900.0,37010.0,39.0,Online,MS
kohl's,2019-07-23,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,40.0,1145,45800.0,13740.0,30.0,Outlet,PA
amazon,2019-07-23,South,Texas,Houston,Women's Athletic Footwear,55.0,1357,74635.0,30600.0,41.0,Online,TX
sports direct,2019-07-23,West,Wyoming,Cheyenne,Women's Street Footwear,55.0,1850,101750.0,53930.0,53.0,Outlet,WY
amazon,2019-07-23,Southeast,South Carolina,Charleston,Women's Athletic Footwear,55.0,1360,74800.0,29170.0,39.0,Online,SC
west gear,2019-07-23,South,Mississippi,Jackson,Women's Apparel,70.0,1059,74130.0,43000.0,57.9999999999999,In-store,MS
walmart,2019-07-23,Midwest,Michigan,Detroit,Women's Athletic Footwear,45.0,1307,58815.0,21170.0,36.0,Outlet,MI
amazon,2019-07-23,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,60.0,1386,83160.0,36590.0,44.0,Online,MN
foot locker,2019-07-23,Southeast,North Carolina,Charlotte,Women's Street Footwear,65.0,1722,111930.0,54850.0,49.0,In-store,NC
amazon,2019-07-23,Northeast,West Virginia,Charleston,Women's Apparel,45.0,1642,73890.0,33250.0,45.0,Online,WV
foot locker,2019-07-23,West,Alaska,Anchorage,Women's Street Footwear,60.0,1508,90480.0,28950.0,32.0,Outlet,AK
amazon,2019-07-23,Southeast,South Carolina,Charleston,Men's Apparel,45.0,1336,60120.0,30660.0,51.0,Online,SC
foot locker,2019-07-23,Northeast,West Virginia,Charleston,Men's Apparel,65.0,1679,109135.0,49110.0,45.0,In-store,WV
walmart,2019-07-23,South,Tennessee,Knoxville,Men's Street Footwear,60.0,1691,101460.0,45660.0,45.0,Online,TN
foot locker,2019-07-23,West,Wyoming,Cheyenne,Men's Athletic Footwear,65.0,1707,110955.0,33290.0,30.0,Outlet,WY
kohl's,2019-07-24,Southeast,Georgia,Atlanta,Men's Street Footwear,60.0,1037,62220.0,31110.0,50.0,In-store,GA
sports direct,2019-07-24,South,Mississippi,Jackson,Men's Street Footwear,65.0,1477,96005.0,51840.0,54.0,In-store,MS
kohl's,2019-07-24,Midwest,Iowa,Des Moines,Men's Athletic Footwear,50.0,1594,79700.0,29490.0,37.0,In-store,IA
foot locker,2019-07-24,West,Colorado,Denver,Men's Street Footwear,50.0,1240,62000.0,20460.0,33.0,In-store,CO
walmart,2019-07-24,Midwest,Michigan,Detroit,Women's Apparel,35.0,1569,54915.0,17570.0,32.0,In-store,MI
amazon,2019-07-24,Northeast,Maine,Portland,Men's Athletic Footwear,40.0,1837,73480.0,44090.0,60.0,Online,ME
walmart,2019-07-24,West,New Mexico,Albuquerque,Women's Apparel,65.0,1944,126360.0,44230.0,35.0,Outlet,NM
west gear,2019-07-24,South,Tennessee,Knoxville,Women's Apparel,60.0,1183,70980.0,38330.0,54.0,Online,TN
sports direct,2019-07-24,Northeast,Maine,Portland,Men's Street Footwear,30.0,1123,33690.0,14820.0,44.0,Outlet,ME
walmart,2019-07-24,Northeast,Rhode Island,Providence,Women's Athletic Footwear,50.0,1163,58150.0,21520.0,37.0,In-store,RI
foot locker,2019-07-24,Southeast,Florida,Orlando,Men's Apparel,55.0,1696,93280.0,28920.0,31.0,Online,FL
foot locker,2019-07-24,Northeast,Massachusetts,Boston,Women's Apparel,65.0,1020,66300.0,30500.0,46.0,Online,MA
walmart,2019-07-24,Midwest,Kansas,Wichita,Women's Apparel,30.0,1575,47250.0,19840.0,42.0,In-store,KS
kohl's,2019-07-24,South,Louisiana,New Orleans,Men's Apparel,55.0,1082,59510.0,33920.0,56.9999999999999,Online,LA
foot locker,2019-07-24,Southeast,Virginia,Richmond,Women's Apparel,30.0,1605,48150.0,17820.0,37.0,In-store,VA
sports direct,2019-07-24,West,Hawaii,Honolulu,Women's Athletic Footwear,35.0,1701,59535.0,18460.0,31.0,In-store,HI
walmart,2019-07-24,West,Utah,Salt Lake City,Women's Apparel,35.0,1766,61810.0,31520.0,51.0,In-store,UT
sports direct,2019-07-24,Northeast,Pennsylvania,Philadelphia,Women's Apparel,35.0,1562,54670.0,25150.0,46.0,Online,PA
walmart,2019-07-24,Southeast,North Carolina,Charlotte,Men's Street Footwear,35.0,1382,48370.0,22250.0,46.0,Outlet,NC
kohl's,2019-07-24,South,Tennessee,Knoxville,Women's Apparel,45.0,1716,77220.0,23940.0,31.0,Outlet,TN
amazon,2019-07-24,Southeast,Florida,Miami,Women's Athletic Footwear,35.0,1850,64750.0,21370.0,33.0,Online,FL
amazon,2019-07-24,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,50.0,1358,67900.0,38020.0,56.0,Online,IN
foot locker,2019-07-24,Northeast,Delaware,Wilmington,Men's Athletic Footwear,55.0,1403,77165.0,46300.0,60.0,In-store,DE
west gear,2019-07-24,Southeast,South Carolina,Charleston,Women's Athletic Footwear,60.0,1786,107160.0,46080.0,43.0,In-store,SC
kohl's,2019-07-24,South,Texas,Houston,Women's Apparel,50.0,1058,52900.0,21690.0,41.0,Outlet,TX
kohl's,2019-07-25,Northeast,Massachusetts,Boston,Women's Apparel,40.0,1596,63840.0,37030.0,57.9999999999999,Outlet,MA
foot locker,2019-07-25,Midwest,Illinois,Chicago,Women's Apparel,65.0,1705,110825.0,36570.0,33.0,Online,IL
sports direct,2019-07-25,Northeast,Maine,Portland,Men's Street Footwear,35.0,1903,66605.0,34630.0,52.0,In-store,ME
amazon,2019-07-25,Midwest,Iowa,Des Moines,Women's Athletic Footwear,55.0,1663,91465.0,37500.0,41.0,Online,IA
kohl's,2019-07-25,Northeast,Massachusetts,Boston,Women's Athletic Footwear,30.0,1402,42060.0,18090.0,43.0,Online,MA
walmart,2019-07-25,Southeast,Florida,Miami,Men's Athletic Footwear,45.0,1503,67635.0,31790.0,47.0,Online,FL
walmart,2019-07-25,Midwest,Kansas,Wichita,Men's Apparel,35.0,1731,60585.0,18180.0,30.0,In-store,KS
sports direct,2019-07-25,Northeast,New Jersey,Newark,Men's Athletic Footwear,55.0,1739,95645.0,34430.0,36.0,In-store,NJ
amazon,2019-07-25,South,Mississippi,Jackson,Men's Apparel,65.0,1270,82550.0,26420.0,32.0,Online,MS
foot locker,2019-07-25,Southeast,Virginia,Richmond,Women's Street Footwear,60.0,1741,104460.0,58500.0,56.0,Outlet,VA
walmart,2019-07-25,Midwest,Kansas,Wichita,Women's Athletic Footwear,60.0,1192,71520.0,25750.0,36.0,In-store,KS
amazon,2019-07-25,Midwest,North Dakota,Fargo,Men's Apparel,65.0,1106,71890.0,42420.0,59.0,Online,ND
walmart,2019-07-25,Northeast,Rhode Island,Providence,Men's Street Footwear,70.0,1487,104090.0,35390.0,34.0,Online,RI
kohl's,2019-07-25,Midwest,Iowa,Des Moines,Women's Street Footwear,50.0,1504,75200.0,39860.0,53.0,In-store,IA
west gear,2019-07-25,Northeast,Maryland,Baltimore,Men's Apparel,35.0,1524,53340.0,16540.0,31.0,Online,MD
amazon,2019-07-25,Southeast,North Carolina,Charlotte,Men's Street Footwear,35.0,1991,69685.0,34150.0,49.0,Online,NC
foot locker,2019-07-25,West,Arizona,Phoenix,Women's Athletic Footwear,55.0,1237,68035.0,26530.0,39.0,Outlet,AZ
sports direct,2019-07-25,West,Nevada,Las Vegas,Men's Street Footwear,40.0,1877,75080.0,39790.0,53.0,In-store,NV
